ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
Corredor Tamaulipas,HIPODROMO,CUAUHTÉMOC,19.41015,-99.17507,1,Sitios_Publicos
Corredor Reforma (Museo Rufino Tamayo),BOSQUE DE CHAPULTEPEC I,MIGUEL HIDALGO,19.42573,-99.1839,1,Sitios_Publicos
Corredor Reforma (Museo De Arte Moderno),BOSQUE DE CHAPULTEPEC I,MIGUEL HIDALGO,19.42228,-99.17951,4,Sitios_Publicos
Corredor Michoacán,CONDESA,CUAUHTÉMOC,19.41162,-99.17404,1,Sitios_Publicos
Corredor Mazatlán,CONDESA,CUAUHTÉMOC,19.41433,-99.1772,2,Sitios_Publicos
Corredor Masaryk,POLANCO IV SECCION,MIGUEL HIDALGO,19.43197,-99.19794,39,Sitios_Publicos
Corredor Cultural Tláhuac,SELENE 2546,TLÁHUAC,19.29343,-98.99838,1,Sitios_Publicos
Corredor Amsterdam,HIPODROMO,CUAUHTÉMOC,19.41084,-99.17175,1,Sitios_Publicos
Centro Regulador De Urgencias,AERONAUTICA MILITAR,VENUSTIANO CARRANZA,19.42418,-99.1161,2,Sitios_Publicos
Centro Familiar De Santa Catarina,MIGUEL DE LA MADRID HURTADO,IZTAPALAPA,19.34224,-99.00276,1,Sitios_Publicos
Centro Deportivo Xochimilco,SAN LUCAS XOCHIMANCA 2447,XOCHIMILCO,19.25496,-99.1072,3,Sitios_Publicos
Centro Cultural Faro Tláhuac,MIGUEL HIDALGO 2330,TLÁHUAC,19.28747,-99.04648,10,Sitios_Publicos
Centro Coyoacán Pb (Corredor Principal),DEL VALLE SUR,BENITO JUÁREZ,19.36605,-99.17285,5,Sitios_Publicos
Centro Coyoacán 2O Piso (Recepción),DEL VALLE SUR,BENITO JUÁREZ,19.36605,-99.17285,2,Sitios_Publicos
Cendi Rubén Leñero,ANAHUAC,MIGUEL HIDALGO,19.44732,-99.17753,1,Sitios_Publicos
Casa Popular De La Juventud,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.32216,-99.22128,1,Sitios_Publicos
Casa De La Cultura Jesús Reyes Heroles,BARRIO SANTA CATARINA,COYOACÁN,19.34916,-99.17109,5,Sitios_Publicos
Campos Elíseos,POLANCO IV SECCION,MIGUEL HIDALGO,19.42782,-99.19387,12,Sitios_Publicos
Búnker Pb,DOCTORES,CUAUHTÉMOC,19.42395,-99.14786,1,Sitios_Publicos
Búnker 5O Piso,DOCTORES,CUAUHTÉMOC,19.42481,-99.14703,1,Sitios_Publicos
Búnker  Área De Comunicación (Prensa),DOCTORES,CUAUHTÉMOC,19.42429,-99.14677,1,Sitios_Publicos
Bosque De Tlalpan,FUENTES BROTANTES 2202,TLALPAN,19.29129,-99.1982,4,Sitios_Publicos
Bosque De Chapultepec,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,19.41949,-99.19056,39,Sitios_Publicos
Bosque De Aragón,SAN JUAN DE ARAGON IV SECCION 2440,GUSTAVO A. MADERO,19.46324,-99.06372,4,Sitios_Publicos
Belisario Domínguez,PANTEON DE SAN LORENZO,IZTAPALAPA,19.30672,-99.06595,11,Sitios_Publicos
Balbuena,AERONAUTICA MILITAR,VENUSTIANO CARRANZA,19.42407,-99.11528,6,Sitios_Publicos
Azcapotzalco,CENTRO DE AZCAPOTZALCO,AZCAPOTZALCO,19.48449,-99.18779,1,Sitios_Publicos
Alcaldía Xochimilco,SAN PEDRO,XOCHIMILCO,19.25738,-99.10911,2,Sitios_Publicos
Alcaldía Venustiano Carranza,JARDIN BALBUENA 2225,VENUSTIANO CARRANZA,19.41918,-99.11355,1,Sitios_Publicos
Alcaldía Tlalpan,TLALPAN CENTRO,TLALPAN,19.28934,-99.16949,9,Sitios_Publicos
Alcaldía Tláhuac,LA ASUNCION,TLÁHUAC,19.27012,-99.00507,2,Sitios_Publicos
Alcaldía Milpa Alta,LOS ANGELES,MILPA ALTA,19.19195,-99.02343,1,Sitios_Publicos
Alcaldía Miguel Hidalgo,ESCANDON,MIGUEL HIDALGO,19.39781,-99.18217,1,Sitios_Publicos
Alcaldía La Magdalena Contreras,BARRANCA SECA,LA MAGDALENA CONTRERAS,19.30485,-99.24151,3,Sitios_Publicos
Alcaldía Iztapalapa,SAN LUCAS,IZTAPALAPA,19.35929,-99.09204,5,Sitios_Publicos
Alcaldía Iztacalco,GABRIEL RAMOS MILLAN SECCION BRAMADERO,IZTACALCO,19.3957,-99.09715,1,Sitios_Publicos
Alcaldía Gustavo A. Madero,VILLA GUSTAVO A MADERO,GUSTAVO A. MADERO,19.48284,-99.11441,5,Sitios_Publicos
Alcaldía Cuauhtémoc,BUENAVISTA,CUAUHTÉMOC,19.44146,-99.15239,3,Sitios_Publicos
Alcaldía Cuajimalpa,CUAJIMALPA,CUAJIMALPA DE MORELOS,19.35782,-99.30167,5,Sitios_Publicos
Alcaldía Coyoacán,VILLA COYOACAN,COYOACÁN,19.35037,-99.16194,8,Sitios_Publicos
Alcaldía Benito Juárez,DEL CARMEN,COYOACÁN,19.35018,-99.16442,1,Sitios_Publicos
Alcaldía Azcapotzalco,CENTRO DE AZCAPOTZALCO,AZCAPOTZALCO,19.4827,-99.1837,4,Sitios_Publicos
Alcaldía Alvaro Obregón,TOLTECA,ÁLVARO OBREGÓN,19.38944,-99.19566,3,Sitios_Publicos
Alameda Central,CENTRO,CUAUHTÉMOC,19.43618,-99.14414,15,Sitios_Publicos
"H. G. Cuautepec ""La Pastora""",LA PASTORA 2257,GUSTAVO A. MADERO,19.52438312,-99.1395755,1,Sitios_Publicos
U. H. Pensador Mexicano,GUERRERO,CUAUHTÉMOC,19.437948,-99.14082,2,Sitios_Publicos
